"Run","TSSEnrichment","ReadsInTSS","ReadsInPromoter","ReadsInBlacklist","PromoterRatio","PassQC","NucleosomeRatio","nMultiFrags","nMonoFrags","nFrags","nDiFrags","DoubletScore","DoubletEnrichment","BlacklistRatio"
"SRR5353642",11.419,4452,17879,571,0.244475742493026,1,0.512053922176736,2204,24183,36566,10179,56.5392303735474,4.3,0.00780779959525242
"SRR5354757",15.379,5258,20001,893,0.274038856767051,1,0.582455227440267,3737,23061,36493,9695,62.3405321423916,4.5,0.0122352231934892
"SRR5353963",9.534,3038,12918,594,0.177109325728701,1,1.40814844162705,7008,15144,36469,14317,0,1.5,0.00814390304093888
"SRR5354186",12.289,5120,20629,990,0.283661514768165,1,0.259682671655235,813,28866,36362,6683,25.8330800081771,3.1,0.0136131125900666
"SRR5354030",15.772,5432,19533,740,0.268753439735828,1,1.11672879776328,7293,17168,36340,11879,0,1.2,0.0101816180517336
"SRR5355681",20.534,6875,25280,908,0.347931404662941,1,0.161673008665622,469,31273,36329,4587,0,0.4,0.0124969033003936
"SRR5355214",10.677,3246,13270,581,0.183004192409532,1,0.972256976554425,2907,18383,36256,14966,0,0.5,0.00801246690203001
"SRR3986186",21.066,7798,25138,961,0.347440291906236,1,0.295980511571255,1720,27914,36176,6542,15.2980920556206,2.6,0.0132822865988501
"SRR5355803",11.704,3694,13613,948,0.188238059680854,1,0.36335872106176,2175,26522,36159,7462,3.93216844700902,1.9,0.0131087696009292
"SRR5354919",11.228,2030,7299,698,0.100937603717225,1,1.98415318586992,13523,12116,36156,10517,230.877600485972,9,0.00965261643987167
"SRR3986043",14.117,4755,19320,790,0.267382639503986,1,0.325846820066791,1467,27249,36128,7412,25.8330800081771,3.1,0.0109333480956599
"SRR5354213",7.173,3633,14548,1569,0.202252189628806,1,0.21437736358725,761,29616,35965,5588,50.9173770223357,4.1,0.0218128736271375
"SRR5354045",20.317,6710,25496,1300,0.354959068886785,1,0.877071029112005,7280,19133,35914,9501,1.56970865191051,1.7,0.0180987915576098
"SRR5353453",12.686,5503,20637,1348,0.287816239435441,1,0.38699319096255,2005,25848,35851,7998,234.708260288578,9.1,0.0188000334718697
"SRR5353454",14.237,5040,17240,1301,0.241037973267714,1,0.34884773507336,1673,26513,35762,7576,101.276204829707,5.7,0.0181896985627202
"SRR5354656",14.323,5056,23106,1225,0.323586253256029,1,0.982508745627186,5544,18009,35703,12150,152.077591682211,7.1,0.0171554211130717
"SRR5354248",15.176,5311,20947,919,0.293441107250925,1,1.42193119359435,8280,14737,35692,12675,27.8375655190521,3.2,0.0128740333968396
"SRR5354826",15.007,5881,21073,1037,0.295255842627361,1,0.316972358563679,1202,27097,35686,7387,323.306215343116,11.1,0.0145295073698369
"SRR5354172",14.256,5414,19528,834,0.273977215331949,1,0.359295140743001,1248,26218,35638,8172,68.3134454277262,4.7,0.0117009933217352
"SRR5353620",17.588,6031,21903,1302,0.30766097314305,1,0.4406086850945,2534,24709,35596,8353,21.5033082810129,2.9,0.0182885717496348
"SRR5355074",16.345,4218,16704,729,0.234639696586599,1,0.602295746117488,2633,22215,35595,10747,239.520204651837,9.2,0.0102402022756005
"SRR5354290",16.174,5546,21087,638,0.296348867277531,1,0.552810754189944,1581,22912,35578,11085,9.80356609405896,2.3,0.00896621507673281
"SRR5353959",9.292,2243,10099,831,0.142203385057309,1,1.11413431769469,6727,16796,35509,11986,217.60506137131,8.7,0.0117012588357881
"SRR5355614",15.446,4134,16848,826,0.237335887755677,1,0.845665852009776,4942,19231,35494,11321,0,1,0.0116357694258184
"SRR5355154",13.127,4667,19487,688,0.274526653893835,1,0.320288668997842,1287,26882,35492,7323,0,1,0.0096923250309929
"SRR5355832",10.481,1662,6951,1046,0.0979676400947119,1,0.234892787524366,1484,28728,35476,5264,9.80356609405896,2.3,0.0147423610328109
"SRR5353525",11.401,3109,11991,664,0.169211447279296,1,0.104144593331256,61,32090,35432,3281,0,0.7,0.0093700609618424
"SRR5354677",13.725,5247,19785,1308,0.279283475904125,1,1.1562671212029,4387,16427,35421,14607,0,0.2,0.0184636232743288
"SRR3986172",22.642,7375,23231,928,0.327954712293184,1,0.18221569478287,410,29959,35418,5049,3.93216844700902,1.9,0.0131006832683946
"SRR5355768",19.736,6558,22653,908,0.320256171006871,1,0.193017372238151,450,29645,35367,5272,0,0.5,0.0128368252891113
"SRR5353917",14.21,5669,22415,1138,0.317871121447615,1,0.326685731487056,1398,26576,35258,7284,48.4785910478643,4,0.0161381814056384
"SRR5356155",11.102,4345,16981,1742,0.241043038837156,1,1.23616048755714,5446,15752,35224,14026,0,0.3,0.024727458550988
"SRR5355149",11.881,3900,18333,1109,0.260241887403117,1,0.347784495293487,1330,26134,35223,7759,0,0.1,0.0157425545808137
"SRR5355327",9.626,3048,13110,1000,0.186147554949736,1,0.694284064665127,5566,20784,35214,8864,0,0.9,0.0141988981655024
"SRR5353557",13.652,4564,17080,834,0.242737763629129,1,0.333207018075713,1780,26389,35182,7013,0,0.9,0.0118526519242795
"SRR5354073",19.095,7261,24985,871,0.35537507467357,1,0.712441543257989,4683,20528,35153,9942,148.681083163553,7,0.0123887008221204
"SRR5353425",16.183,5173,18166,767,0.258524506176353,1,0.298805959114266,1545,27051,35134,6538,0,0.8,0.0109153526498548
"SRR5356025",17.869,5622,21453,902,0.306918652894217,1,1.18937543068346,6922,15963,34949,12064,87.9182538220781,5.3,0.0129045180119603
"SRR5354853",15.423,5974,20493,946,0.294034090909091,1,0.365998980831798,1700,25511,34848,7637,75.1425701192758,4.9,0.0135732323232323
"SRR5355058",13.499,4206,16717,1427,0.24068475005759,1,0.403661937674306,2186,24741,34728,7801,48.4785910478643,4,0.0205453812485602
"SRR5354555",12.488,4484,16779,1085,0.242191108545035,1,0.153052393316024,414,30042,34640,4184,111.262801962222,6,0.0156610854503464
"SRR5354064",22.421,4948,18568,1023,0.268168688619295,1,0.714965076534403,4916,20187,34620,9517,71.7032149078389,4.8,0.0147746967071057
"SRR5354174",12.801,4092,14898,1445,0.21539484717925,1,0.394588273247843,1038,24798,34583,8747,21.5033082810129,2.9,0.0208917676314952
"SRR5353747",17.578,5557,20715,899,0.299678838030207,1,0.902041714820318,6561,18171,34562,9830,59.7405393991436,4.4,0.0130056131010937
"SRR5353962",19.879,5913,20452,1115,0.296199745104855,1,0.887485648679678,6473,18291,34524,9760,156.353485215486,7.2,0.0161481867686247
