"","UMAP_1","UMAP_2","Cluster"
"SRR3986041",2.11534520567627,-0.0620977362781503,8
"SRR5355941",-1.25366405068664,-1.33305352238712,6
"SRR5355807",1.65058353127213,-4.8302479466587,6
"SRR3986120",2.9301083940384,-0.547615357318495,8
"SRR5355245",-1.37619808732299,8.89634316357079,12
"SRR5355118",-0.752843056309505,5.44971602352562,10
"SRR5354410",0.703297044646458,2.82362597378197,1
"SRR5354701",4.23401137770386,2.66387455852928,2
"SRR5354456",-0.133513723004146,2.43286817463341,1
"SRR5355085",-0.559065495121761,-2.07211101857719,4
"SRR5355067",-1.26057127534179,-3.26059014407692,4
"SRR5353540",3.42172786177369,2.09794633778038,2
"SRR5354717",-0.510985646832271,3.78459399136009,1
"SRR5355523",5.3459756034729,-3.67115623561439,7
"SRR5354824",-0.845689092266841,-3.42321116534767,4
"SRR5356117",-0.812782202351375,-5.19904310313759,13
"SRR5353596",3.64388033331604,3.07490961941185,2
"SRR5356098",-0.439434800732417,-4.70563275424537,13
"SRR5354406",1.58944573582383,3.29872744472924,1
"SRR5353409",3.70445820273133,3.05614464672508,2
"SRR5354397",0.00103124560089563,4.47858136089745,1
"SRR5356149",-1.18003610192565,-6.20708567706642,13
"SRR5354416",2.29966589392395,3.81929963024559,2
"SRR5354402",1.33017448664875,3.12373726757469,1
"SRR5354783",-1.67870787202148,1.32681959064903,3
"SRR5355898",-2.33979466973571,-1.72342825738487,6
"SRR3986109",3.78184696615906,-0.146149464526746,8
"SRR5354631",-0.661104474652095,2.26278274448815,1
"SRR3986111",3.78092333258362,-0.116298623958204,8
"SRR5356147",-1.31057885705261,-6.29466540423927,13
"SRR5355870",-0.939720426190181,-1.86259800998268,4
"SRR5356106",-0.579127107250972,-5.14445025531349,13
"SRR5353634",3.62523313940735,3.44949810894432,2
"SRR5353516",3.64720508040162,2.15931384952965,2
"SRR5355708",-0.682490621197505,-7.90080029574928,5
"SRR5354628",0.102307404887395,-1.41594657359419,4
"SRR5355246",-1.47762468873291,8.99748986156883,12
"SRR5356139",-1.08794382630615,-9.79396636096535,5
"SRR5354481",0.813951726567464,0.467103771290209,1
