,GSE96769#SRR5355219,GSE96769#SRR5355440,GSE96769#SRR5355614,GSE96769#SRR5355849,GSE96769#SRR5356042
GSE96769#SRR5355322,0.9016312109657256,0.0,0.0,0.08157636774690892,0.0
GSE96769#SRR5355801,0.08799805870012592,0.019083863680308275,0.029010646825632386,0.7844105615717092,0.07949686922222154
GSE96769#SRR5353716,0.286111044781517,0.02656687424402497,0.0341112977364223,0.5895726601011096,0.06363812313692109
GSE96769#SRR5354171,0.070037170896436,0.018503363316328073,0.02883261660417152,0.8012031820134554,0.08142366716960725
GSE96769#SRR5354710,0.23653139498412146,0.025897866772927637,0.03471440649666778,0.6346649403902888,0.06819139135599064
GSE96769#SRR5353891,0.2859363182694149,0.026571215383379584,0.03408662704586319,0.5897499675319999,0.06365587176933693
GSE96769#SRR5354099,0.06109365295928612,0.019478389039150862,0.03081766717407312,0.8038043214152232,0.08480596941226512
GSE96769#SRR5354756,0.339826909890446,0.02353890287522462,0.030505276065121004,0.5472788129796333,0.05885009818957128
GSE96769#SRR5355734,0.0,0.0,0.9961072215511363,0.0,0.0
GSE96769#SRR5353442,0.2854469980804784,0.026595603362114726,0.03412155092669175,0.590136608431553,0.06369923919915718
GSE96769#SRR5353432,0.285709519720466,0.02659467552428926,0.03413685935929063,0.5898848289233901,0.06367411647255895
GSE96769#SRR5354033,0.2650862814578388,0.04433140784331525,0.0358305350760884,0.5907408837151775,0.06401089190757565
GSE96769#SRR5354486,0.35343332941340644,0.022798847463349432,0.029723256189046365,0.5363996887755962,0.057644878158597576
GSE96769#SRR5354793,0.29732478075141555,0.025304962922265736,0.032888461940387054,0.5818196833531751,0.06266211103275203
GSE96769#SRR5354169,0.4343880044742653,0.02004702690152263,0.026025541803542673,0.4691192788944881,0.05042014792617694
GSE96769#SRR5354006,0.43952767554820416,0.019870796954548332,0.02578956825555525,0.4648504856585097,0.049961473583178394
GSE96769#SRR5355749,0.0,0.0,0.9977662206993422,0.0,0.0
GSE96769#SRR5355847,0.02911697807573507,0.010115973421228218,0.016422963674495243,0.8813304100183366,0.06301367481020347
GSE96769#SRR5353977,0.459129927316144,0.019194430198299778,0.024888147070793835,0.4485751179373891,0.04821237747736895
GSE96769#SRR5354837,0.04220536209897738,0.014055373688102894,0.022666650105072787,0.8449369699841609,0.07613564412368422
GSE96769#SRR5355811,0.062109835050992386,0.01864035503749972,0.02937292475939393,0.8068796466247353,0.08299723852737699
GSE96769#SRR5354625,0.3811619201018063,0.02187331447688063,0.02846184790692174,0.5133337197050803,0.0551691978093069
GSE96769#SRR5354803,0.29423420881342144,0.025856283006928535,0.0333795544621286,0.5836053340806799,0.062924619636837
GSE96769#SRR5355644,0.0,0.0,0.9972485930044778,0.0,0.0
GSE96769#SRR5353440,0.28566659978855075,0.02658469628953394,0.03410612903973315,0.589962811399464,0.06367976348271284
GSE96769#SRR5356067,0.04613211857873227,0.016555109160410704,0.027002765147713895,0.8180902975079299,0.09221970960521238
GSE96769#SRR5353995,0.341778000428437,0.02327981592123491,0.0302588906235552,0.5460054147814978,0.0586778782452712
GSE96769#SRR5354312,0.3480579822913108,0.02359629449597837,0.029687369889932924,0.5406281917834418,0.05803016153933798
GSE96769#SRR5355520,0.0,0.969712046007169,0.0,0.021739148767956285,0.0
GSE96769#SRR5354018,0.2873004515746611,0.026482627853885624,0.03403377336563289,0.5886512996954838,0.06353184751033183
GSE96769#SRR5354310,0.34806143147093194,0.023596341720602387,0.029687310729861204,0.5406250653535049,0.05802985072510115
GSE96769#SRR5355054,0.07104881891066066,0.02647596361449049,0.0411354856480569,0.7733899079242719,0.08794982390251863
GSE96769#SRR5354382,0.2819164432550334,0.02421290921162198,0.03218179416065154,0.5976727534476213,0.06401609992506771
GSE96769#SRR5354615,0.28372636919112776,0.026739657558256687,0.03417628499921953,0.5915082218381393,0.06384946641325205
GSE96769#SRR5355860,0.04166983452511124,0.013966254274380948,0.02254305050563936,0.845647575136891,0.0761732855579757
GSE96769#SRR5355020,0.054656636904864754,0.020929355674863506,0.03453279155339252,0.7914105044532006,0.0984707114136771
GSE96769#SRR5355107,0.9049479368742371,0.0,0.0,0.07882581932489373,0.0
GSE96769#SRR5354230,0.4933747998447259,0.01797618027387803,0.023312387204256494,0.4201765155562265,0.04516011712090948
GSE96769#SRR5353965,0.28369962157367695,0.027455124009344484,0.034287882352812035,0.5907690931677816,0.06378827889638036
GSE96769#SRR5353655,0.28608597571449695,0.026563776636177407,0.034075987372829235,0.5896316565534103,0.0636426037230798
GSE96769#SRR5354488,0.33472851552761473,0.023511986565748173,0.03066332150791837,0.5517800658235151,0.05931611057519932
GSE96769#SRR5353497,0.28614580134884954,0.026560804311428057,0.034071740164897994,0.5895843547180227,0.06363729945679493
GSE96769#SRR5355487,0.0,0.9759624314367584,0.0,0.017252940862438854,0.0
GSE96769#SRR5355712,0.0,0.0,0.9964719547113025,0.0,0.0
GSE96769#SRR5354291,0.34822547117273445,0.023591439785344205,0.029681679155680298,0.540486023853707,0.05801538603253545
GSE96769#SRR5354436,0.4526625462122157,0.01940726582878496,0.025185405856080742,0.4539543553052676,0.048790426797647474
GSE96769#SRR5353566,0.28073982852037094,0.02718397447716374,0.03443716334668638,0.5935451951610048,0.06409383849477
GSE96769#SRR5355619,0.0,0.0,0.9974167418892356,0.0,0.0
GSE96769#SRR5355252,0.9674895883926886,0.0,0.0,0.026960500236202188,0.0
GSE96769#SRR5354305,0.3501186227253979,0.023545060132146703,0.029617377418565505,0.5388713791509788,0.05784756057291187
GSE96769#SRR5353642,0.282330085514921,0.026745890934984525,0.03424438749282624,0.592701240444189,0.06397839561307543
GSE96769#SRR5354757,0.4734040189289459,0.01874226439781339,0.024236379792668312,0.4366819643554773,0.0469353725250909
GSE96769#SRR5353963,0.32021550483490885,0.023981324130425686,0.03132129220223821,0.5638672003974458,0.060614678434977115
GSE96769#SRR5354186,0.36602586862440123,0.02237345735515827,0.029145615099369564,0.5259345507015804,0.05652050821948653
GSE96769#SRR5354030,0.9364438683495286,0.0,0.0,0.05270602951611842,0.0
GSE96769#SRR5355681,0.0,0.0,0.9983388289481017,0.0,0.0
GSE96769#SRR5355214,0.9169886430497238,0.0,0.0,0.06884053690639542,0.0
GSE96769#SRR5355803,0.05154903555677028,0.01682819079623028,0.02696585318441777,0.822033819803845,0.08262310065873447
GSE96769#SRR5354919,0.115418149935114,0.045137693703197326,0.05958247302517616,0.7005494742823118,0.07931220905419775
GSE96769#SRR5354213,0.37135418200313414,0.022433364109415592,0.028978310434200214,0.5212034389145679,0.05603070453867767
GSE96769#SRR5354045,0.28651719117531615,0.026544024074815844,0.034093389240281054,0.5892440191035389,0.06360137640604345
GSE96769#SRR5353453,0.28567744033264697,0.026607546441149776,0.03415687805555228,0.589881804163062,0.06367633100758413
GSE96769#SRR5354066,0.09210764962741648,0.07450770962981129,0.08396066758565927,0.6722783465429604,0.07714562661414943
GSE96769#SRR5353454,0.2853476364266854,0.026600161620135378,0.03412687319859319,0.5902171730094887,0.06370815574509202
GSE96769#SRR5354656,0.1723251828032375,0.024536961485165078,0.03427526699062435,0.6950304722259731,0.07383211649499735
GSE96769#SRR5354248,0.3482798542918728,0.02359002046937727,0.02967981656154317,0.5404397372963463,0.05801057138086209
GSE96769#SRR5354826,0.09129866003940248,0.06757010599024392,0.07821445431602349,0.6843457700846607,0.07857100956966608
